5'_PARTNER_GENE 3'_PARTNER_GENE
SLC45A3 ELK4
SLC45A3 ERG
SLC45A3 ETV1
SLC45A3 FLI1
SNX2 ABL1
SPECC1 PDGFRB
SPTBN1 FLT3
SQSTM1 ALK
SRGAP3 RAF1
SS18 SSX1
SS18 SSX1
SS18 SSX1
SS18 SSX2
SS18 SSX2
SS18 SSX2
SS18 SSX2
SS18 SSX2
SS18 SSX2
SS18 SSX2
SS18 SSX2
SS18 SSX2
SS18 SSX2
SS18 SSX4
SS18 SSX4
SS18L1 SSX1
SSBP2 JAK2
SSBP2 JAK2
SSBP2 JAK2
STAT5B RARA
STAT5B RARA
STAT5B RARA
STRN PDGFRA
STRN PDGFRA
STRN PDGFRA
TAF15 NR4A3
TAF15 NR4A3
TAF15 NR4A3
TAF15 ZNF384
TAF15 ZNF384
TAL1 RHOA
TAL1 TCR
TAL1 TCR
TAL1 TCR
TCEA1 PLAG1
TCF12 NR4A3
TCF3 HLF
TCF3 NOP2
TCF3 PBX1
TCF3 PBX1
TCF3 PBX1
TCF3 PBX1
TCF3 PBX1
TCF3 PBX1
TCF3 PBX1
TCF3 PBX1
TCF3 PBX1
TCF3 PBX1
TCF3 PBX1
TCF3 PBX1
TCF3 PBX1
TCF3 PBX1
TCF3 PBX1
TCF3 PBX1
TCF3 PBX1
TCF3 PBX1
TCF3 PBX1
TCF3 PBX1
TCF3 PBX1
TCF3 PBX1
TCF3 PBX1
TCF3 PBX1
TCF3 PBX1
TCF3 PBX1
TCF3 PBX1
TCF3 PBX1
TCF3 PBX1
TCF3 PBX1
TCF3 TFPT
TCF3 ZNF384
TCR LMO1
TCR LMO1
TCR LMO2
TCR MTCP1NB
TFG ALK
TFG ALK
TFG ALK
TFG NR4A3
TFG NTRK1
TFRC BCL6
THRAP3 USP6
TLX1 TCR
TLX1 TCR
TMPRSS2 ERG
TMPRSS2 ERG
TMPRSS2 ERG
TMPRSS2 ERG
TMPRSS2 ERG
TMPRSS2 ERG
TMPRSS2 ERG
TMPRSS2 ERG
TMPRSS2 ERG
TMPRSS2 ERG
TMPRSS2 ERG
TMPRSS2 ERG
TMPRSS2 ERG
TMPRSS2 ERG
